
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
1300         1            139          7.073        1939         108.2        
1300         2            148          7.942        1881         106.7        
1300         3            118          6.461        1833         103          
1300         4            135          6.512        1903         106.8        
1300         5            74           3.758        910          51.48        
1300         6            71           3.339        877          49.21        
1300         7            83           4.246        903          51.22        
1300         8            68           3.175        921          52.91        
1300         9            67           3.447        852          47.65        
1300         10           78           3.903        943          54.25        
1300         11           78           3.858        847          47.35        
1300         12           59           3.095        862          48.09        
1300         13           70           3.549        843          47.18        
1300         14           64           3.161        843          48.01        
1300         15           83           3.575        843          47.07        
1300         16           67           3.438        886          50.68        
1300         17           62           3.103        952          55.05        
1300         18           81           4.135        864          48.85        
1300         19           70           3.36         941          54.22        
1300         20           64           3.623        868          47.42        
1300         21           147          7.64         1931         108.9        
1300         22           133          6.961        1851         105.4        
1300         23           137          7.54         1903         105.9        
1300         24           136          6.709        1869         103.8        
1300         25           46           2.031        494          25.58        
1400         0            59           2.387        515          27.1         
1400         1            151          8.048        1898         106.8        
1400         2            149          7.613        1922         107.5        
1400         3            145          7.334        1883         109.8        
1400         4            135          7.284        1846         105.4        
1400         5            75           4.092        939          53.41        
1400         6            67           3.396        878          49.59        
1400         7            68           3.309        854          46.63        
1400         8            69           3.252        866          49.5         
1400         9            59           2.925        910          52.67        
1400         10           85           4.142        869          48.17        
1400         11           62           3.043        932          52.54        
1400         12           73           3.76         838          48.48        
1400         13           74           3.874        886          50.01        
1400         14           81           4.637        859          48.68        
1400         15           70           3.437        902          51.03        
1400         16           71           4.264        846          47.26        
1400         17           53           3.08         932          53.7         
1400         18           76           4.265        927          51.64        
1400         19           66           3.201        886          49.18        
1400         20           62           3.102        951          53.03        
1400         21           135          6.738        1870         106.2        
1400         22           162          8.093        1857         103.6        
1400         23           132          6.578        1910         107.9        
1400         24           149          7.732        1873         104.5        
1400         25           55           2.169        531          27.62        
1500         0            59           2.432        517          26.85        
1500         1            140          6.911        1902         107.3        
1500         2            111          5.361        1890         107.8        
1500         3            143          6.928        1795         102.2        
1500         4            130          6.708        1916         107.2        
1500         5            73           3.605        839          47.91        
1500         6            74           3.366        943          53.11        
1500         7            56           2.897        877          47.71        
1500         8            68           3.465        920          51.16        
1500         9            56           3.131        895          50.9         
1500         10           64           3.101        934          52.86        
1500         11           73           3.584        873          50.43        
1500         12           50           2.432        849          48.11        
1500         13           75           4.19         907          50.83        
1500         14           67           3.661        897          49.33        
1500         15           78           4.201        806          46.44        
1500         16           80           4.117        896          52.3         
1500         17           65           3.172        909          51.16        
1500         18           51           2.722        934          52.89        
1500         19           56           2.929        883          49.56        
1500         20           58           2.829        855          48.18        
1500         21           106          5.351        1875         104.8        
1500         22           124          5.872        1906         109.4        
1500         23           139          7.254        1902         105.3        
1500         24           152          7.486        1917         105.7        
1500         25           40           2.127        542          28.79        
1600         0            64           2.761        553          29.08        
1600         1            125          6.105        1865         106.5        
1600         2            129          6.584        1922         108.7        
1600         3            139          7.395        1885         105.7        
1600         4            131          6.746        1932         107.3        
1600         5            69           3.689        963          54.95        
1600         6            94           5.073        935          52.66        
1600         7            88           4.9          943          52.87        
1600         8            75           3.888        904          51.2         
1600         9            85           4.334        888          50.26        
1600         10           58           2.981        881          50.01        
1600         11           80           3.992        884          50.99        
1600         12           73           4.048        913          51.6         
1600         13           75           4.023        843          47.7         
1600         14           58           3.428        848          49.3         
1600         15           79           3.899        902          51.25        
1600         16           66           3.521        909          51.84        
1600         17           69           3.352        874          49.47        
1600         18           76           3.651        914          51.87        
1600         19           68           3.381        958          52.78        
1600         20           61           3.321        911          52.53        
1600         21           138          7.097        1840         103.2        
1600         22           146          7.238        1810         102.2        
1600         23           149          7.361        1955         110.9        
1600         24           143          7.122        1867         105.8        
1600         25           44           1.994        539          29.29        
1700         0            43           1.881        498          25.8         
1700         1            140          6.854        1937         107.1        
1700         2            137          6.692        1806         100.4        
1700         3            145          7.427        1838         102.7        
1700         4            139          6.782        1889         105.6        
1700         5            68           3.352        954          53.65        
1700         6            75           4.117        938          52.52        
1700         7            69           3.321        895          51.32        
1700         8            69           3.299        848          47.18        
1700         9            72           3.864        867          47.76        
1700         10           80           4.328        869          49.33        
1700         11           58           2.794        828          47.2         
1700         12           90           4.635        880          49.66        
1700         13           58           3.201        844          48.8         
1700         14           65           3.333        876          49.43        
1700         15           61           2.907        901          51.03        
1700         16           61           3.21         888          50.21        
1700         17           70           3.545        877          50.29        
1700         18           78           4.08         950          52.22        
1700         19           62           3.117        916          50.19        
1700         20           62           3.351        986          55.7         
1700         21           160          8.231        1835         103.8        
1700         22           146          8.037        1859         106.2        
1700         23           129          6.72         1882         106.6        
1700         24           136          7.467        1924         108.2        
1700         25           46           2.15         522          26.08        
1800         0            51           1.833        557          29.08        
1800         1            114          5.918        1881         106.7        
1800         2            129          6.464        1879         105.6        
1800         3            129          6.42         1841         103.1        
1800         4            118          5.93         1947         110.8        
1800         5            68           3.336        924          52.64        
1800         6            60           3.121        909          50.02        
1800         7            81           4.453        877          49.62        
1800         8            76           4.032        939          53.8         
1800         9            71           3.571        907          50.68        
1800         10           64           3.217        890          51.15        
1800         11           75           3.725        950          55.09        
1800         12           69           3.64         866          50.4         
1800         13           73           3.572        875          50.14        
1800         14           75           3.764        842          47.56        
1800         15           75           3.71         878          49.72        
1800         16           53           2.885        874          49.38        
1800         17           63           3.061        924          51.37        
1800         18           81           4.585        843          48.77        
1800         19           67           3.547        922          52.07        
1800         20           70           3.519        981          55.41        
1800         21           156          7.659        1812         101.7        
1800         22           137          6.861        1899         106          
1800         23           128          6.784        1926         108.1        
1800         24           122          6.143        1914         107.1        
1800         25           42           1.89         533          27.46        
1900         0            47           2.241        509          26.1         
1900         1            126          6.455        1927         107          
1900         2            145          6.923        1907         106.5        
1900         3            127          6.248        1862         103.3        
1900         4            124          6.375        1899         108.9        
1900         5            67           3.447        939          53.63        
1900         6            54           2.791        860          49.23        
1900         7            70           3.581        876          51.15        
1900         8            75           3.409        865          50.11        
1900         9            80           4.317        856          48.41        
1900         10           78           3.53         840          48.89        
1900         11           78           3.582        876          50.14        
1900         12           65           3.535        865          50.14        
1900         13           81           4.47         861          49.08        
1900         14           53           2.572        867          48.2         
1900         15           70           3.507        940          53.16        
1900         16           58           2.817        905          51.72        
1900         17           68           3.634        842          47.95        
1900         18           75           3.991        865          47.74        
1900         19           68           3.928        894          49.55        
1900         20           60           3.21         906          51.73        
1900         21           144          7.86         1889         106.7        
1900         22           132          6.887        1890         107.1        
1900         23           137          6.841        1821         103.7        
1900         24           127          6.405        1932         110          
1900         25           49           2.211        538          28.2         
2000         0            48           2.341        531          28.78        
2000         1            156          7.993        1908         107.1        
2000         2            149          7.647        1904         108.1        
2000         3            134          6.627        1802         102.5        
2000         4            144          7.89         1863         104.9        
2000         5            68           3.069        894          49.38        
2000         6            71           3.752        934          52.76        
2000         7            81           4.165        910          52.37        
2000         8            59           3.18         907          51.85        
2000         9            72           3.497        871          48.25        
2000         10           77           4.034        841          47.92        
2000         11           66           3.148        884          51.12        
2000         12           75           3.794        873          49.85        
2000         13           69           3.734        850          47.37        
2000         14           58           2.844        933          53.02        
2000         15           54           2.488        903          51.82        
2000         16           79           4.559        836          47.3         
2000         17           57           2.658        922          50.69        
2000         18           78           4.22         923          52.13        
2000         19           58           2.776        882          49.61        
2000         20           74           3.788        880          48.94        
2000         21           142          7.219        1965         112.2        
2000         22           136          7.131        1825         103.4        
2000         23           135          6.597        1862         101.9        
2000         24           133          6.249        1939         109.5        
2000         25           45           1.875        579          29.59        
2100         0            50           2.082        501          26.72        
2100         1            118          5.787        1939         108.9        
2100         2            139          7.324        1982         112.4        
2100         3            125          6.977        1880         104.1        
2100         4            159          7.506        1821         104.6        
2100         5            75           3.608        846          47.26        
2100         6            71           3.927        917          51.64        
2100         7            67           3.533        907          51.21        
2100         8            80           3.868        876          49.24        
2100         9            70           3.493        880          50.47        
2100         10           69           3.771        927          53.2         
2100         11           71           3.959        923          54.09        
2100         12           59           2.931        892          50.12        
2100         13           68           3.601        863          48.37        
2100         14           68           3.585        900          50.34        
2100         15           68           3.384        890          50.98        
2100         16           68           3.65         836          45.69        
2100         17           70           3.71         886          49.09        
2100         18           68           3.422        864          49.41        
2100         19           74           3.432        862          48.12        
2100         20           73           3.934        920          51.07        
2100         21           151          7.583        1838         103.5        
2100         22           129          7.252        1873         104.3        
2100         23           134          6.616        1860         103.9        
2100         24           131          6.252        1922         108.5        
2100         25           56           2.832        517          27.18        
2200         0            42           1.724        504          26.2         
2200         1            119          5.855        1816         102          
2200         2            120          6.294        1860         104.5        
2200         3            111          6.215        1889         104.9        
2200         4            143          6.981        1850         105.8        
2200         5            70           3.294        910          51.37        
2200         6            71           3.376        940          53.16        
2200         7            79           4.05         903          51.96        
2200         8            75           3.883        910          51.02        
2200         9            72           3.692        907          51.19        
2200         10           77           4.013        881          50.17        
2200         11           65           3.259        889          52.13        
2200         12           62           3.02         936          54.07        
2200         13           61           3.277        863          49.46        
2200         14           64           3.329        900          50.31        
2200         15           74           3.899        864          49.54        
2200         16           82           4.05         952          54.9         
2200         17           66           3.487        913          49.9         
2200         18           55           2.873        876          47.6         
2200         19           73           3.646        901          50.18        
2200         20           63           2.968        905          52.75        
2200         21           128          6.875        1851         103.6        
2200         22           130          6.522        1817         102.2        
2200         23           125          6.868        1846         105.8        
2200         24           142          7.222        1855         104.8        
2200         25           39           1.985        554          28.45        
2300         0            43           1.867        562          29.82        
2300         1            143          7.089        1892         106.6        
2300         2            141          7.1          1922         107.3        
2300         3            128          6.403        1852         104.1        
2300         4            132          7.143        1897         107.8        
2300         5            72           4.133        967          54.72        
2300         6            67           3.596        974          54.82        
2300         7            56           2.868        955          55.65        
2300         8            69           3.625        920          52.99        
2300         9            67           3.08         923          52           
2300         10           59           2.922        852          49.31        
2300         11           65           3.534        903          51.27        
2300         12           67           3.731        871          50.32        
2300         13           61           2.822        879          49.64        
2300         14           61           2.761        886          51.54        
2300         15           62           3.245        911          51.13        
2300         16           57           3.251        867          49.29        
2300         17           64           3.308        890          49.82        
2300         18           62           3.394        924          50.6         
2300         19           51           2.435        899          48.92        
2300         20           73           3.746        931          51.02        
2300         21           145          7.111        1893         106.4        
2300         22           123          6.154        1849         101.5        
2300         23           124          6.704        1912         109.8        
2300         24           139          6.762        1927         108.1        
2300         25           45           1.829        547          28.32        
2400         0            42           1.846        508          25.54        
2400         1            113          5.35         1819         99.91        
2400         2            127          5.776        1744         94.59        
2400         3            158          7.257        1764         95.94        
2400         4            127          6.258        1774         98.82        
2400         5            68           3.369        866          45.76        
2400         6            69           3.225        804          44.24        
2400         7            62           3.178        848          46.38        
2400         8            68           2.925        886          48.61        
2400         9            69           3.589        818          44.06        
2400         10           69           3.101        823          45.69        
2400         11           62           3.091        850          47.32        
2400         12           58           2.839        830          45.32        
2400         13           63           2.958        809          44.6         
2400         14           58           2.889        861          46.93        
2400         15           91           4.057        851          45.71        
2400         16           68           3.145        843          46.27        
2400         17           58           2.759        802          44.49        
2400         18           58           2.782        832          44.6         
2400         19           68           3.182        814          44.93        
2400         20           60           2.719        862          47.7         
2400         21           144          6.82         1775         99.01        
2400         22           132          5.921        1742         93.9         
2400         23           114          5.693        1763         97.87        
2400         24           152          6.901        1816         99.84        
2400         25           40           1.89         484          25.01        
