
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
1100         15           194          9.137        964          55.23        
1100         16           221          10.08        922          52.59        
1100         17           225          10.85        977          55.07        
1100         18           198          9.338        972          54.91        
1100         19           214          10.42        980          55.62        
1100         20           194          10.22        933          52.41        
1100         21           378          18.22        1955         111.5        
1100         22           418          19.77        1998         112.3        
1100         23           410          20.81        1977         111.4        
1100         24           413          19.43        2080         118.3        
1100         25           118          5.326        554          28.15        
1200         0            105          4.034        594          31.33        
1200         1            406          19.08        2011         113.5        
1200         2            391          18.84        2004         113.4        
1200         3            409          20.68        2042         115          
1200         4            394          19.21        2076         119.3        
1200         5            200          9.404        915          52.57        
1200         6            226          10.84        1019         58.05        
1200         7            221          10.71        949          53.94        
1200         8            225          10.52        968          54.77        
1200         9            207          9.887        971          54.87        
1200         10           215          9.739        981          56.22        
1200         11           209          10.09        914          52.75        
1200         12           187          8.409        958          56.66        
1200         13           238          10.77        968          56.28        
1200         14           202          9.029        936          53.83        
1200         15           215          10.19        1000         58.51        
1200         16           222          10.96        989          55.66        
1200         17           178          9.049        961          54.63        
1200         18           207          9.929        955          53.79        
1200         19           226          11.25        1025         58.4         
1200         20           211          10.16        950          54.91        
1200         21           407          19.68        1989         112.1        
1200         22           413          20.12        2026         114.2        
1200         23           411          20.37        2025         112.8        
1200         24           389          18.86        2046         116.2        
1200         25           120          4.753        571          30.64        
1300         0            120          5.543        541          28.23        
1300         1            372          17.46        1928         110.5        
1300         2            441          21.16        1983         113.6        
1300         3            438          20.86        1983         113          
1300         4            339          16.05        1978         111.4        
1300         5            201          9.487        946          54.57        
1300         6            211          9.864        959          55.06        
1300         7            214          9.912        944          53.68        
1300         8            194          8.912        980          55.33        
1300         9            214          9.738        905          51.45        
1300         10           196          8.973        898          50.31        
1300         11           201          9.218        863          49.66        
1300         12           194          9.24         914          53.56        
1300         13           238          11.24        933          52.4         
1300         14           190          9.263        978          56.67        
1300         15           190          8.799        981          55.36        
1300         16           198          10.19        937          51.95        
1300         17           206          10.45        934          53.16        
1300         18           191          8.666        948          54.47        
1300         19           221          10.52        982          55.52        
1300         20           200          9.124        920          51.48        
1300         21           432          21.07        2016         115.3        
1300         22           413          19.62        2046         113.8        
1300         23           439          20.01        2078         117.9        
1300         24           403          20.12        2017         115          
1300         25           112          4.702        608          31.95        
1400         0            116          4.99         620          32.3         
1400         1            419          20.53        1947         109.5        
1400         2            392          18.78        2014         115.4        
1400         3            434          21.18        2074         120          
1400         4            389          18.31        2015         114.5        
1400         5            194          9.899        1008         58.02        
1400         6            175          8.449        1011         57.88        
1400         7            185          8.764        955          55.13        
1400         8            198          9.26         914          52.56        
1400         9            213          10.05        969          54.77        
1400         10           197          9.144        958          54.25        
